id,dev,period,rstart,rstop,status,has_written_peps,has_written_acc_peps,peps_this_year,total_peps,accepted_peps_year,total_accepted_peps,biconnected,top,tenure,colaborators,knum,aknum,clus_sq,clus_dot,clus_red,degree,contributions,dcentrality,betweenness,closeness
99,Antoine Pitrou,19,18,19,0,1,1,1,2,1,2,1,1,3,60,9,11.248101265822784,0.10764157279508235,0.037433927833153566,0.25225826890310205,684,1362829,0.27833972793861184,0.6155865790478354,0.6155865790478354
71,Georg Brandl,19,18,19,0,1,1,0,8,0,6,1,1,6,61,9,11.248101265822784,0.11980437686222131,0.03010667598071978,0.19631229724603008,1017,103148,0.4138472270666202,1.0,1.0
77,Kristján Valur Jónsson,19,18,19,0,0,0,0,0,0,0,1,0,5,23,6,7.535686190374026,0.17196261682242991,0.018790851603137298,0.6900584795321637,19,1005,0.007731659109405884,0.003907984457201924,0.003907984457201924
126,Tim Golden,19,18,19,0,0,0,0,0,0,0,1,0,1,28,4,5.090870016303542,0.08978328173374613,0.028096314482063296,0.6666666666666666,6,613,0.002441576560865016,9.494348804835245e-05,9.494348804835245e-05
127,Victor Stinner,19,18,19,0,0,0,0,0,0,0,1,1,1,59,9,11.248101265822784,0.1377517361111111,0.045313476841068005,0.5312151616499442,300,89200,0.12207882804325078,0.15655857561247008,0.15655857561247008
22,Thomas Heller,19,18,19,1,1,0,0,1,0,0,1,0,11,54,4,5.090870016303542,0.18683651804670912,0.02380080333762286,0.18577075098814227,23,15044,0.009359376816649227,0.02197325784643497,0.02197325784643497
128,Éric Araujo,19,18,19,0,0,0,0,0,0,0,1,1,1,58,9,11.248101265822784,0.150310168377119,0.032644931029547596,0.5324518261710877,158,5838,0.06429484943611209,0.06307522023978906,0.06307522023978906
79,Richard Jones,19,18,19,1,1,1,0,3,0,3,1,0,5,53,3,3.880512818978133,0.5652173913043478,0.03563496948096463,0.3333333333333333,6,925,0.002441576560865016,0.0036673111653663104,0.0036673111653663104
53,Armin Rigo,19,18,19,0,0,0,0,0,0,0,0,0,8,7,1,1,0.0,0.006834290972926129,0.0,3,60,0.001220788280432508,0.003616755797635079,0.003616755797635079
101,Tarek Ziadé,19,18,19,0,1,1,0,4,0,2,1,1,3,55,9,11.248101265822784,0.18994140625,0.02862344768009832,0.46013044393014935,98,20636,0.03987908382746192,0.05060663965756383,0.05060663965756383
24,Gregory P. Smith,19,18,19,0,0,0,0,0,0,0,1,1,11,56,9,11.248101265822784,0.1441966651718374,0.04162371646053458,0.627972027972028,66,5516,0.026857342169515176,0.020596692350250474,0.020596692350250474
